puma10,puma_names,,
00100,St. Lawrence County,,
00200,"Clinton, Franklin, Essex & Hamilton Counties",,
00300,Warren & Washington Counties,,
00401,Herkimer (North & Central) & Oneida (Outer) Counties,,
00402,Oneida County (Central)--Greater Utica & Rome Cities,,
00403,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties",,
00500,Jefferson & Lewis Counties,,
00600,Oswego County,,
00701,Onondaga County (Central)--Syracuse City,,
00702,Onondaga County (North),,
00703,Onondaga County (Central)--Syracuse City (Outer),,
00704,Cayuga & Onondaga (South) Counties,,
00800,Wayne & Seneca Counties,,
00901,Monroe County (East),,
00902,Monroe County (Central)--Rochester City (East),,
00903,Monroe County (Central)--Rochester City (West),,
00904,Monroe County (Central)--Greece & Gates Towns,,
00905,Monroe County (North & West),,
00906,Monroe County (South),,
01000,Genesee & Orleans Counties,,
01101,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area,,
01102,Niagara County (North & East),,
01201,Erie County (Northwest),,
01202,Erie County (North Central),,
01203,Erie County (Northeast),,
01204,Erie County (Central),,
01205,Erie County (West Central)--Buffalo City (East),,
01206,Erie County (West Central)--Buffalo City (West),,
01207,Erie County (South),,
01300,Livingston & Wyoming Counties,,
01400,Ontario & Yates Counties,,
01500,Madison & Cortland Counties,,
01600,Fulton & Montgomery Counties,,
01700,Schenectady County--Schenectady City,,
01801,Saratoga County (South & Central),,
01802,Saratoga County (Outer),,
01900,Rensselaer County--Troy City,,
02001,Albany County (East Central)--Albany City,,
02002,Albany County (Outside Albany City),,
02100,Columbia & Greene Counties,,
02201,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village,,
02202,Broome (Outer West) & Tioga Counties,,
02203,"Chenango, Delaware & Broome (East) Counties",,
02300,Tompkins County,,
02401,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities,,
02402,"Steuben (North & West), Schuyler & Chemung (North) Counties",,
02500,Cattaraugus & Allegany Counties,,
02600,Chautauqua County,,
02701,Sullivan & Ulster (West) Counties,,
02702,Ulster County (East),,
02801,Dutchess County (North & East),,
02802,Dutchess County (Southwest),,
02901,Orange County (Northeast)--Greater Newburgh City,,
02902,Orange County (Northwest),,
02903,Orange County (Southeast),,
03001,Rockland County (North)--New City & Congers,,
03002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns",,
03003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey",,
03101,Putnam County,,
03102,Westchester County (Northwest),,
03103,Westchester County (Northeast),,
03104,Westchester County (Southeast),,
03105,Westchester County (Central)--White Plains City,,
03106,Westchester County (Southwest)--Yonkers City,,
03107,Westchester County (South Central)--New Rochelle & Mount Vernon Cities,,
03201,Nassau County (Northwest)--North Hempstead Town (North),,
03202,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City,,
03203,Nassau County (East Central)--Oyster Bay Town (Central),,
03204,Nassau County (West Central)--North Hempstead Town (South),,
03205,Nassau County (West Central)--Hempstead Town (Northwest),,
03206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor,,
03207,Nassau County (Central)--Hempstead Town (Northeast),,
03208,Nassau County (Southeast)--Oyster Bay Town (South),,
03209,Nassau County (Central)--Hempstead Town (East Central),,
03210,Nassau County (South Central)--Hempstead Town (Southeast),,
03211,Nassau County (West Central)--Hempstead Town (West Central),,
03212,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City,,
03301,Suffolk County (Northwest)--Huntington Town (North),,
