"","zipcode","uhf","year","borough","gender","age","race","hiv_diagnoses","hiv_diagnosis_rate","concurrent_diagnoses","percent_linked_to_care_within_3_months","aids_diagnoses","aids_diagnosis_rate","plwdhi_prevalence","percent_viral_suppression","deaths","death_rate","hiv_related_death_rate","non_hiv_related_death_rate","mid_income"
"1",10453,"Crotona - Tremont",2011,"Bronx","All","All","All",99,60.6,22,72,101,61.8,2.3,66,99,16,8.6,7.4,NA
"2",10453,"Crotona - Tremont",2011,"Bronx","Female","13 - 19","All",1,8.1,0,100,1,8.1,0.2,33,0,0,0,0,NA
"3",10453,"Crotona - Tremont",2011,"Bronx","Female","20 - 29","All",5,27.3,1,80,1,5.5,0.6,49,4,26.1,13.1,13.1,NA
"4",10453,"Crotona - Tremont",2011,"Bronx","Female","30 - 39","All",12,78,1,75,11,71.5,1.8,60,6,16.5,11,5.5,NA
"5",10453,"Crotona - Tremont",2011,"Bronx","Female","40 - 49","All",7,44.5,5,86,16,101.8,3.4,60,11,14.5,4.4,10.2,NA
"6",10453,"Crotona - Tremont",2011,"Bronx","Female","50 - 59","All",5,38.5,1,40,8,61.6,3.5,73,12,21,12.3,8.8,NA
"7",10453,"Crotona - Tremont",2011,"Bronx","Female","60+","All",1,7,0,100,3,20.9,1.2,80,8,29.9,25.6,4.3,NA
"8",10453,"Crotona - Tremont",2011,"Bronx","Female","All","All",31,34.8,8,74,40,44.9,1.8,65,41,16.8,10.5,6.4,NA
"9",10453,"Crotona - Tremont",2011,"Bronx","Female","All","Asian/Pacific Islander",0,0,0,99999,0,0,0.5,71,0,0,0,0,NA
"10",10453,"Crotona - Tremont",2011,"Bronx","Female","All","Black",16,60.7,6,75,26,98.7,2.9,66,23,20.7,11.2,9.5,NA
"11",10453,"Crotona - Tremont",2011,"Bronx","Female","All","Latino/Hispanic",13,22,2,77,14,23.7,1.3,65,17,12,10.2,1.8,NA
"12",10453,"Crotona - Tremont",2011,"Bronx","Female","All","Other/Unknown",0,0,0,99999,0,0,0.2,100,0,0,0,0,NA
"13",10453,"Crotona - Tremont",2011,"Bronx","Female","All","White",2,127.4,0,50,0,0,2.3,54,1,28.7,0,28.7,NA
"14",10453,"Crotona - Tremont",2011,"Bronx","Male","13 - 19","All",4,31.6,0,75,2,15.8,0.3,54,0,0,0,0,NA
"15",10453,"Crotona - Tremont",2011,"Bronx","Male","20 - 29","All",22,134.8,3,77,9,55.2,1.1,51,1,4.6,4.6,0,NA
"16",10453,"Crotona - Tremont",2011,"Bronx","Male","30 - 39","All",20,161.3,4,65,12,96.8,2,57,3,8.5,0,8.5,NA
