uhf,longitude,latitude
Bayside - Little Neck,-73.75323475,40.75926025
Bedford Stuyvesant - Crown Heights,-73.9367712,40.676034
Bensonhurst - Bay Ridge,-74.005732,40.61551133333333
Borough Park,-73.982277,40.62596125
Canarsie - Flatlands,-73.902152,40.63905466666667
Central Harlem - Morningside Heights,-73.9454986,40.8148508
Chelsea - Clinton,-73.99355783333334,40.7512625
Coney Island - Sheepshead Bay,-73.95283524999999,40.613672
Crotona - Tremont,-73.89657133333333,40.84689533333333
Downtown - Heights - Slope,-73.978732,40.6805558
East Flatbush - Flatbush,-73.95087725,40.64876925
East Harlem,-73.9391085,40.7968985
East New York,-73.90408049999999,40.66656
Flushing - Clearview,-73.81122757142857,40.77102742857143
Fordham - Bronx Park,-73.88692133333333,40.870678
Fresh Meadows,-73.80094533333333,40.732108333333336
Gramercy Park - Murray Hill,-73.97575725,40.74907025
Greenpoint,-73.945549,40.7180885
Greenwich Village - Soho,-74.000058,40.72977233333333
High Bridge - Morrisania,-73.91687166666667,40.829529
Hunts Point - Mott Haven,-73.90111725,40.815429
Jamaica,-73.78419842857143,40.696268
Kingsbridge - Riverdale,-73.901516,40.889353
Long Island City - Astoria,-73.92154416666666,40.7595295
Lower Manhattan,-74.01234733333334,40.70751883333333
Northeast Bronx,-73.8439655,40.869041
Port Richmond,-74.14054399999999,40.63118766666667
Ridgewood - Forest Hills,-73.87113175,40.7168865
Rockaway,-73.8316175,40.596598
South Beach - Tottenville,-74.1813428,40.5397024
Southeast Queens,-73.7349391111111,40.712069
Southwest Queens,-73.8372515,40.6846555
Stapleton -  St. George,-74.08828133333333,40.609616333333335
Sunset Park,-73.9943065,40.6530295
Union Square - Lower East Side,-73.985129,40.725577
Upper East Side,-73.954068,40.77206325
Upper West Side,-73.97188133333333,40.794519666666666
Washington Heights - Inwood,-73.9367884,40.8471508
West Queens,-73.88424014285714,40.74753128571429
Williamsburg - Bushwick,-73.93469633333333,40.701021
Willowbrook,-74.150741,40.591006
