"","zipcode","uhf","year","borough","gender","age","race","hiv_diagnoses","hiv_diagnosis_rate","concurrent_diagnoses","percent_linked_to_care_within_3_months","aids_diagnoses","aids_diagnosis_rate","plwdhi_prevalence","percent_viral_suppression","deaths","death_rate","hiv_related_death_rate","non_hiv_related_death_rate"
"1","10453","Crotona - Tremont",2011,"Bronx","All","All","All",99,60.6,22,72,101,61.8,2.3,66,99,16,8.6,7.4
"2","10453","Crotona - Tremont",2011,"Bronx","Female","13 - 19","All",1,8.1,0,100,1,8.1,0.2,33,0,0,0,0
"3","10453","Crotona - Tremont",2011,"Bronx","Female","20 - 29","All",5,27.3,1,80,1,5.5,0.6,49,4,26.1,13.1,13.1
"4","10453","Crotona - Tremont",2011,"Bronx","Female","30 - 39","All",12,78,1,75,11,71.5,1.8,60,6,16.5,11,5.5
"5","10453","Crotona - Tremont",2011,"Bronx","Female","40 - 49","All",7,44.5,5,86,16,101.8,3.4,60,11,14.5,4.4,10.2
"6","10453","Crotona - Tremont",2011,"Bronx","Female","50 - 59","All",5,38.5,1,40,8,61.6,3.5,73,12,21,12.3,8.8
"7","10453","Crotona - Tremont",2011,"Bronx","Female","60+","All",1,7,0,100,3,20.9,1.2,80,8,29.9,25.6,4.3
"8","10453","Crotona - Tremont",2011,"Bronx","Female","All","All",31,34.8,8,74,40,44.9,1.8,65,41,16.8,10.5,6.4
"9","10453","Crotona - Tremont",2011,"Bronx","Female","All","Asian/Pacific Islander",0,0,0,99999,0,0,0.5,71,0,0,0,0
"10","10453","Crotona - Tremont",2011,"Bronx","Female","All","Black",16,60.7,6,75,26,98.7,2.9,66,23,20.7,11.2,9.5
"11","10453","Crotona - Tremont",2011,"Bronx","Female","All","Latino/Hispanic",13,22,2,77,14,23.7,1.3,65,17,12,10.2,1.8
"12","10453","Crotona - Tremont",2011,"Bronx","Female","All","Other/Unknown",0,0,0,99999,0,0,0.2,100,0,0,0,0
"13","10453","Crotona - Tremont",2011,"Bronx","Female","All","White",2,127.4,0,50,0,0,2.3,54,1,28.7,0,28.7
"14","10453","Crotona - Tremont",2011,"Bronx","Male","13 - 19","All",4,31.6,0,75,2,15.8,0.3,54,0,0,0,0
"15","10453","Crotona - Tremont",2011,"Bronx","Male","20 - 29","All",22,134.8,3,77,9,55.2,1.1,51,1,4.6,4.6,0
"16","10453","Crotona - Tremont",2011,"Bronx","Male","30 - 39","All",20,161.3,4,65,12,96.8,2,57,3,8.5,0,8.5
"17","10453","Crotona - Tremont",2011,"Bronx","Male","40 - 49","All",14,107.4,3,71,15,115.1,5.3,63,12,13,9.8,3.3
"18","10453","Crotona - Tremont",2011,"Bronx","Male","50 - 59","All",5,47.4,2,40,18,170.6,7.2,70,24,25.1,7.3,17.8
"19","10453","Crotona - Tremont",2011,"Bronx","Male","60+","All",3,32,2,100,5,53.3,3.1,84,18,46,23,23
"20","10453","Crotona - Tremont",2011,"Bronx","Male","All","All",68,91.5,14,71,61,82.1,3,66,58,15.1,7.1,8
"21","10453","Crotona - Tremont",2011,"Bronx","Male","All","Asian/Pacific Islander",0,0,0,99999,0,0,0.6,88,0,0,0,0
"22","10453","Crotona - Tremont",2011,"Bronx","Male","All","Black",28,126.4,6,68,24,108.3,4.5,66,24,13.7,7.9,5.8
"23","10453","Crotona - Tremont",2011,"Bronx","Male","All","Latino/Hispanic",38,78.2,8,76,36,74.1,2.4,66,32,15.2,6.6,8.6
"24","10453","Crotona - Tremont",2011,"Bronx","Male","All","Other/Unknown",0,0,0,99999,0,0,0.8,60,0,0,0,0
"25","10453","Crotona - Tremont",2011,"Bronx","Male","All","White",2,119.9,0,0,1,59.9,3.5,78,2,30,0,30
"26","10453","Crotona - Tremont",2012,"Bronx","All","All","All",97,58.5,21,75,88,53.1,2.4,72,92,14.5,5.1,9.4
"27","10453","Crotona - Tremont",2012,"Bronx","Female","13 - 19","All",1,8.2,0,100,0,0,0.2,58,0,0,0,0
"28","10453","Crotona - Tremont",2012,"Bronx","Female","20 - 29","All",12,63.8,2,83,5,26.6,0.8,54,1,6.2,0,6.2
"29","10453","Crotona - Tremont",2012,"Bronx","Female","30 - 39","All",4,25.6,1,50,7,44.8,1.6,68,2,5.7,2.9,2.9
"30","10453","Crotona - Tremont",2012,"Bronx","Female","40 - 49","All",11,70.4,2,82,7,44.8,3.2,70,10,14.9,9,6
